x,y,z
132.601349,-129.928879,-464.257874
114.481247,-131.460648,-468.627930
96.500725,-132.756378,-472.295837
78.475769,-133.706314,-475.356903
60.423588,-134.742218,-477.696075
42.517155,-135.429489,-479.427917
24.320271,-135.987381,-480.537140
6.152109,-136.348129,-481.010742
-12.687203,-136.003937,-480.980225
-30.071337,-136.580841,-480.043121
-48.079250,-136.336502,-478.644684
-66.136864,-135.967316,-476.590790
-84.218903,-135.386444,-473.896271
-102.154076,-134.755585,-470.537445
-120.232635,-133.848053,-466.507050
-138.338715,-132.583725,-461.826782
132.601349,-132.775070,-463.451904
114.481247,-134.333618,-467.812469
96.500725,-135.651825,-471.472382
78.475769,-136.620544,-474.527527
60.423588,-137.670776,-476.860291
42.517155,-138.368652,-478.587921
24.320271,-138.933334,-479.693695
6.152109,-139.296967,-480.165070
-12.687203,-138.952621,-480.136688
-30.071337,-139.523773,-479.196014
-48.079250,-139.270844,-477.799133
-66.136864,-138.889084,-475.747559
-84.218903,-138.291672,-473.056641
-102.154076,-137.640213,-469.701721
-120.232635,-136.707962,-465.677002
-138.338715,-135.414948,-461.004547
132.601349,-135.616257,-462.628510
